Unnamed: 0,CustomerID,Churn,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,"Tenure_(0, 12)","Tenure_(12, 24)","Tenure_(24, 48)","Tenure_(48, 60)","Tenure_(60, 72)",PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_CC,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
24,50025,1,1,14,2.0,5,2,3,0,15,0,1,3,206.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
25,50026,1,1,15,2.0,3,5,8,0,22,1,1,4,142.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
26,50027,0,3,6,3.0,3,4,2,0,13,1,1,6,172.95,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
27,50028,0,3,12,2.0,3,3,3,1,20,0,4,5,123.06,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
28,50029,0,1,20,2.0,3,4,9,0,18,1,1,15,123.48,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
29,50030,0,3,14,2.0,3,2,2,0,14,2,3,7,189.98,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
30,50031,0,1,6,2.0,3,3,2,0,13,0,1,9,143.19,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
31,50032,0,1,13,2.0,4,3,3,0,17,1,1,0,161.32,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
32,50033,0,1,15,3.0,4,4,5,1,20,1,1,0,133.46,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
33,50034,0,3,10,3.0,4,2,8,0,11,2,2,11,208.55,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
34,50035,0,3,8,3.0,3,3,7,0,18,1,1,2,122.31,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
35,50036,0,1,15,3.0,3,2,2,0,24,0,2,2,123.23,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
36,50037,0,1,15,2.0,3,4,7,0,18,0,2,2,120.24,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
37,50038,0,1,27,2.6435472491645204,3,2,2,0,11,0,1,2,127.13,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
38,50039,0,1,30,2.0,2,2,4,1,16,1,1,4,194.39,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
39,50040,0,1,17,3.0,4,3,2,1,15,0,1,1,125.66,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
40,50041,0,1,17,2.0,3,4,4,0,16,2,4,4,299.26,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
41,50042,0,1,16,2.0,3,3,5,0,12,1,1,8,124.51,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
42,50043,0,3,11,2.0,3,2,3,0,12,2,7,4,194.19,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
43,50044,0,3,6,2.0,4,2,5,0,22,1,1,1,186.86,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
44,50045,0,1,12,2.2174614501986536,3,3,4,0,20,0,1,4,130.38,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
45,50046,0,1,23,2.5286448011253304,3,4,1,1,16,1,1,1,130.58,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
46,50047,1,3,21,3.0,5,5,1,0,21,1,1,0,123.25,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
47,50048,0,1,9,1.0,3,4,5,0,12,4,7,2,120.88,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
48,50049,0,1,15,2.417078586184915,3,5,2,0,11,0,6,10,130.72,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
49,50050,0,3,10,1.0,3,5,5,1,11,0,1,3,150.06,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
50,50051,0,1,14,3.0,3,5,5,1,18,1,2,2,142.57,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
51,50052,0,1,11,2.0,3,2,1,0,14,0,1,2,125.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
52,50053,1,1,8,2.0,4,2,2,0,22,0,1,0,111.02,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
53,50054,0,3,6,3.0,3,5,2,0,25,4,15,7,204.53,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
54,50055,0,1,15,3.0,3,2,2,0,12,1,2,1,122.88,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
55,50056,0,1,18,3.0,3,2,9,1,23,1,1,2,139.29,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
56,50057,0,1,33,3.0,3,4,3,0,15,1,1,2,123.11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
57,50058,1,3,26,2.5347791597263583,3,4,2,1,22,0,1,2,131.4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
58,50059,0,1,6,2.0,4,3,3,0,15,0,1,2,136.9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
59,50060,0,1,19,2.0,2,5,2,0,11,1,1,3,144.5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
60,50061,0,1,20,2.5991153392343938,3,4,2,0,13,0,1,6,127.56,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
61,50062,0,1,10,2.0,3,3,2,0,14,2,9,9,290.33,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
62,50063,0,1,20,3.0,2,4,9,0,11,2,2,15,287.22,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
63,50064,0,1,8,2.0,4,3,2,0,17,0,1,9,195.47,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
64,50065,0,1,9,3.0,3,4,4,0,18,0,2,0,237.34,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
65,50066,0,1,6,3.0,4,3,1,0,16,1,11,9,299.99,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
66,50067,0,1,15,2.0,3,4,2,0,16,1,1,3,122.79,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
67,50068,1,1,29,2.0,4,3,4,1,13,1,1,1,159.16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
68,50069,0,1,13,2.0,2,2,5,0,14,0,2,2,120.89,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
69,50070,0,1,8,3.0,4,2,10,0,23,4,11,8,267.92,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
70,50071,0,1,27,3.0,2,5,2,1,12,0,1,7,135.64,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
71,50072,0,1,8,2.0,3,4,6,0,11,1,1,2,144.25,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
72,50073,0,1,27,2.0,3,3,3,0,16,0,1,2,152.65,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
73,50074,0,1,8,2.0,3,3,10,0,14,0,1,0,165.53,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
74,50075,0,1,35,2.0,3,2,4,0,18,0,1,7,162.61,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
75,50076,0,1,6,2.0,4,5,6,0,19,0,2,0,142.98,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
76,50077,0,1,24,3.0,3,2,2,1,15,0,1,7,168.04,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
77,50078,0,1,16,2.0,3,3,2,1,17,2,2,0,138.15,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
78,50079,0,1,25,2.642041020472213,3,2,9,1,15,1,3,7,127.41,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
79,50080,1,1,35,3.0,3,5,8,1,19,0,1,0,166.73,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
80,50081,1,3,33,2.0,3,2,2,0,22,1,1,9,176.39,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
81,50082,0,1,13,2.0,2,4,2,1,16,0,2,2,123.28,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
82,50083,0,1,24,3.0,3,2,2,0,13,1,1,7,121.53,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
83,50084,0,1,15,3.0,4,2,10,0,14,1,1,2,148.76,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
84,50085,0,1,6,3.0,3,5,8,0,16,0,1,3,193.96,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
85,50086,1,3,10,2.0,5,2,2,0,11,7,9,8,204.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
86,50087,0,1,6,2.0,4,3,2,0,22,2,5,8,184.74,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
87,50088,0,3,26,2.0,3,3,2,0,14,1,1,7,199.81,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
88,50089,0,1,14,2.0,4,4,6,0,16,1,4,4,224.9,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
89,50090,1,1,10,2.0,3,5,6,1,11,1,1,4,126.57,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
90,50091,0,3,12,3.0,3,2,4,1,18,0,2,0,235.91000000000005,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
91,50092,1,3,32,2.0,4,5,6,0,15,0,1,1,166.96,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
92,50093,1,1,6,2.0,3,3,1,0,14,0,1,5,120.58,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
93,50094,0,3,12,2.0,4,2,7,0,12,12,12,8,188.65,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
94,50095,0,3,9,2.0,3,5,3,0,14,1,1,5,159.4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
95,50096,0,1,11,3.0,3,4,9,0,16,0,3,7,159.14,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
96,50097,0,1,11,2.0,4,4,7,0,21,0,1,1,126.22,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
97,50098,0,1,17,2.0,3,2,2,1,14,0,1,8,221.85,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
98,50099,0,3,9,3.0,3,3,1,0,12,1,5,13,206.09,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
99,50100,0,1,6,2.0,5,3,1,0,12,1,1,4,143.45,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
100,50101,0,1,9,3.0,4,2,4,0,17,0,1,0,121.77,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
101,50102,0,3,10,2.0,3,2,5,0,17,1,5,8,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
102,50103,0,3,6,2.0,3,2,2,0,14,4,4,1,179.18,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
103,50104,0,3,6,3.0,3,3,2,0,14,1,1,8,187.89,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
104,50105,1,1,14,2.0,4,2,2,1,13,0,1,1,123.89,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
105,50106,0,1,8,2.0,4,2,8,0,15,0,2,2,132.12,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
106,50107,0,1,10,2.0,3,2,2,0,14,0,11,15,292.32,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
107,50108,0,2,12,2.0,3,3,9,0,17,2,2,2,122.67,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
108,50109,0,3,6,3.0,3,2,4,0,15,1,1,6,295.17,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
109,50110,1,1,12,2.0,3,2,6,1,13,0,1,4,124.36,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
110,50111,0,3,22,3.0,3,2,6,1,22,0,1,9,260.64,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
111,50112,1,1,8,2.5223356945478748,3,5,8,0,20,1,1,7,127.07,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
112,50113,0,3,8,3.0,4,3,2,1,18,13,15,12,290.68,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
113,50114,0,3,10,2.0,3,4,3,0,11,1,1,2,139.31,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
114,50115,1,1,6,3.0,4,3,1,1,14,1,1,2,137.3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
115,50116,0,1,6,3.0,3,3,8,0,14,0,1,2,122.32,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
116,50117,0,3,32,3.0,3,2,1,0,18,1,2,2,144.65,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
117,50118,0,1,25,2.2825054616256986,3,5,3,0,16,1,1,0,130.72,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
118,50119,0,1,30,3.0,3,2,2,0,17,2,4,7,133.19,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
119,50120,0,1,6,3.0,2,2,1,0,15,1,1,7,292.02,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
120,50121,0,1,9,3.0,3,3,10,0,12,1,1,2,236.75,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
121,50122,0,1,11,2.228538840233275,4,2,2,0,13,0,1,2,129.11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
122,50123,0,1,8,2.0,4,5,7,0,13,0,5,9,159.57,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
123,50124,0,1,6,2.0,4,5,3,0,14,1,1,2,139.2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
124,50125,0,1,13,3.0,2,3,5,0,17,0,1,2,164.34,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
125,50126,1,1,16,3.0,3,3,7,0,11,1,1,0,200.48,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
126,50127,0,1,8,3.0,3,3,1,0,25,10,11,9,209.38,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
127,50128,0,1,13,2.0,3,2,2,0,19,0,1,5,123.4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
128,50129,0,1,23,2.0,2,5,4,1,13,0,1,2,165.45,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
129,50130,0,3,26,2.0,3,2,3,0,14,1,1,2,169.31,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
130,50131,0,1,6,3.0,3,3,1,0,12,1,1,2,148.98,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
131,50132,0,1,19,2.0,4,5,1,1,11,4,7,8,125.93,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
132,50133,0,1,8,2.0,3,3,1,0,15,0,3,9,294.36,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
133,50134,0,1,6,2.1664549571060308,3,2,2,0,11,1,1,0,127.23,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
134,50135,1,1,35,3.0,4,4,1,0,11,1,1,4,134.79,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
135,50136,0,1,13,2.5009807899744527,2,4,2,0,20,0,1,3,127.94,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
136,50137,0,3,8,2.0,4,2,4,0,18,6,7,5,152.49,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
137,50138,0,1,8,2.0,4,5,5,0,13,0,1,4,121.76,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
138,50139,0,3,8,3.0,5,4,4,1,12,6,7,7,268.72,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
139,50140,1,1,8,3.0,3,3,3,0,11,1,1,0,134.85,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
140,50141,0,3,8,3.0,4,4,3,0,19,0,1,0,166.44,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
141,50142,0,1,29,3.0,4,2,1,0,21,1,7,8,155.82,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
142,50143,0,1,11,2.0,2,5,2,0,12,1,1,5,140.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
143,50144,0,1,26,3.0,3,2,1,1,14,0,4,10,234.96,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
144,50145,0,1,12,2.0,3,2,1,0,11,4,10,11,132.1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
145,50146,0,1,6,2.0,3,5,1,1,14,2,4,13,290.45,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
146,50147,1,1,35,2.0,3,4,2,1,12,5,9,8,218.49,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
147,50148,0,1,15,3.0,3,2,2,0,23,1,1,4,120.7,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
